Date,Name,X,Y,Z
2155-01-01,Earth,-20720697.44099964,133220776.6858474,57699605.766401306
2155-01-01,Mars,-202805192.04791242,128305950.07847713,64272159.275411464
2155-01-01,Jupiter,351639179.4474177,613750892.0418684,254468289.00453776
2155-01-01,Saturn,-1196669849.1252244,618707332.854699,307469788.6396132
2155-01-01,Uranus,-353823840.0033302,-2609281046.5388794,-1137753922.2431684
2155-01-01,Neptune,986911927.8865016,-4072829806.3269687,-1691600433.0242674
2155-01-01,Pluto,699305892.1247379,6581828661.055513,1843489647.84884
2155-02-01,Sun,0.0,0.0,0.0
2155-02-01,Mercury,-44001302.72914863,-47615655.06977414,-20861508.13760756
2155-02-01,Venus,-90513307.66508749,-56249572.65785117,-19615062.149359927
2155-02-01,Earth,-94022684.81960803,103668278.20343514,44901295.94000036
2155-02-01,Mars,-231339274.06293938,81386288.7201212,43509872.742906086
2155-02-01,Jupiter,319916614.77954584,629333504.9423261,261915543.31574866
2155-02-01,Saturn,-1210773621.0486708,597583413.6894271,299349303.0533323
2155-02-01,Uranus,-335849426.54787135,-2611977817.512149,-1139188646.0376482
2155-02-01,Neptune,1001019486.5850749,-4069659841.4624095,-1690654241.8727765
2155-02-01,Pluto,688986933.436386,6580052546.5006075,1846044582.8938997
2155-03-01,Sun,0.0,0.0,0.0
2155-03-01,Mercury,40901706.159682274,-41221100.24422588,-26209297.504062958
2155-03-01,Venus,-23043650.732040625,-97778050.4202645,-42579676.13210531
2155-03-01,Earth,-137263872.55420664,50566174.888417475,21901757.131103758
2155-03-01,Mars,-244964599.50074232,34614212.6007798,22417681.104249373
2155-03-01,Jupiter,290649777.5288233,642204140.0089496,268141063.36737493
2155-03-01,Saturn,-1223137933.3522568,578318615.9046583,291921955.16217124
2155-03-01,Uranus,-319602798.591396,-2614323036.680428,-1140445022.660534
2155-03-01,Neptune,1013752910.7658236,-4066760515.311501,-1689784607.6659555
2155-03-01,Pluto,679664840.5348237,6578431675.345215,1848347598.5875762
2155-04-01,Sun,0.0,0.0,0.0
2155-04-01,Mercury,-14902271.879940495,38315007.51096003,22062386.2137761
2155-04-01,Venus,65248999.34608376,-78420319.13670152,-39436010.8843933
2155-04-01,Earth,-147511271.8653923,-21582760.992134348,-9349235.30542051
2155-04-01,Mars,-245613175.13697347,-19122583.6114109,-2215483.4463139903
2155-04-01,Jupiter,257636804.43997535,655098484.8735967,274467641.5769568
2155-04-01,Saturn,-1236408819.6480799,556792357.1824481,283599157.2235155
2155-04-01,Uranus,-301603214.3524887,-2616819242.006986,-1141792262.1573784
2155-04-01,Neptune,1027840656.5362643,-4063510571.3209243,-1688805188.170811
2155-04-01,Pluto,669342048.3678626,6576618706.834864,1850892186.8683898
2155-05-01,Sun,0.0,0.0,0.0
2155-05-01,Mercury,-41413911.901309766,-49784527.53868416,-22278838.36922704
2155-05-01,Venus,108123398.44600411,-7749901.831166459,-10312508.863786569
2155-05-01,Earth,-118140528.86340125,-86073883.94791104,-37284778.05239939
2155-05-01,Mars,-231411244.04619357,-70015927.14656588,-25940318.27472824
2155-05-01,Jupiter,225147550.6254177,666202044.8278376,280014117.4358469
2155-05-01,Saturn,-1248829955.3024256,535770552.4377671,275448095.81122094
2155-05-01,Uranus,-284172679.6310546,-2619134577.3468113,-1143052257.8021865
2155-05-01,Neptune,1041463846.3033446,-4060325494.3396726,-1687840751.6063507
2155-05-01,Pluto,659350370.9108039,6574845767.425153,1853349498.4161963
2155-06-01,Sun,0.0,0.0,0.0
2155-06-01,Mercury,49057325.11040971,-29193114.915577948,-20614584.247917525
2155-06-01,Venus,78181793.34925506,69554859.27576752,26398049.44497087
2155-06-01,Earth,-56172280.21879676,-129650719.45571274,-56162844.1140333
2155-06-01,Mars,-201719661.00700304,-118023888.0088692,-48754619.22135141
2155-06-01,Jupiter,191090813.4486271,676238429.6797106,285141316.7380399
2155-06-01,Saturn,-1261226120.4590611,513859835.8722921,266928567.1702085
2155-06-01,Uranus,-266149874.30925304,-2621423397.038231,-1144308998.616677
2155-06-01,Neptune,1055530550.4435726,-4056992975.9184628,-1686827010.9493647
2155-06-01,Pluto,649023724.2112432,6572994649.326976,1855883341.9044127
2155-07-01,Sun,0.0,0.0,0.0
